iter	F1	Logloss
0	0.7933884298	0.664480468
1	0.7862848716	0.6382423606
2	0.7904599659	0.6186340944
3	0.7984065669	0.5978172031
4	0.7971738336	0.5801216386
5	0.8018902217	0.5597927162
6	0.8035521421	0.5461619828
7	0.8041410858	0.5343166564
8	0.8033593281	0.5216945892
9	0.8056054617	0.5098304199
10	0.8059844405	0.5001802245
11	0.8065675935	0.4911531084
12	0.8109077861	0.4797480015
13	0.8111484863	0.471943388
14	0.8126579232	0.4655201049
15	0.8160479042	0.4585866723
16	0.8152591171	0.4523418716
17	0.815685334	0.447974752
18	0.8165424381	0.4436911935
19	0.8175164967	0.4398519212
20	0.8191961608	0.4362375901
21	0.8195542775	0.4322464869
22	0.8210526316	0.4289766294
23	0.8217573222	0.4253232512
24	0.8214627151	0.4222866163
25	0.8229390681	0.4189599327
26	0.8234451474	0.4164391403
27	0.8246241947	0.4139503275
28	0.8255065554	0.4102956577
29	0.8247939807	0.4083350127
30	0.8261388028	0.4054740786
31	0.8265902852	0.403654493
32	0.8276026743	0.4019741807
33	0.8288610614	0.4003372277
34	0.828261129	0.3988342243
35	0.8284418993	0.3966486106
36	0.8299141221	0.3952844805
37	0.8300083622	0.3934639714
38	0.8347558084	0.3921475674
39	0.8355660937	0.3905840216
40	0.8358032009	0.3888384935
41	0.8364153627	0.3876828469
42	0.835626186	0.3860064889
43	0.8354880797	0.3846066494
44	0.8361568535	0.3827706882
45	0.837639251	0.3818455457
46	0.8379530917	0.3808548359
47	0.8399621212	0.3791878401
48	0.8406482905	0.3782538106
49	0.8408848929	0.3775827493
50	0.8425531915	0.3761403916
51	0.8428892304	0.3751066642
52	0.8426407951	0.3740877296
53	0.8427405041	0.3735236275
54	0.8437241216	0.3724941771
55	0.843960724	0.3714762287
56	0.8435873166	0.3705383221
57	0.8438608943	0.3689710352
58	0.8436243198	0.3683247013
59	0.8452437293	0.3678003165
60	0.8448337081	0.366857255
61	0.8454803597	0.3661186504
62	0.8456804734	0.3650480611
63	0.8460809851	0.3640224153
64	0.8452071006	0.3634049549
65	0.846490709	0.362739778
66	0.8474375666	0.3619759407
67	0.8492307692	0.3611533566
68	0.8491884848	0.3604300684
69	0.8493897381	0.3590654805
70	0.8499644466	0.3583945699
71	0.8495554238	0.3578178345
72	0.8497569074	0.3572899938
73	0.8500948767	0.3565283593
74	0.8497212668	0.3558133773
75	0.8495134109	0.354983085
76	0.8499584865	0.354117005
77	0.8507002136	0.3536983832
78	0.8505637982	0.3531079525
79	0.8512759644	0.3525927376
80	0.8512710858	0.351324966
81	0.851746258	0.3508056923
82	0.8521511766	0.3503066143
83	0.8524239544	0.3495912628
84	0.8526265748	0.3489747913
85	0.8530704359	0.3481672358
86	0.8529656484	0.3476236052
87	0.8533048027	0.3471248955
88	0.8538818214	0.3466602403
89	0.8532033757	0.3461856873
90	0.8534062537	0.3456102752
91	0.8543897216	0.345040989
92	0.8543897216	0.3445635724
93	0.8543227494	0.3440898248
94	0.8542880933	0.3437577854
95	0.8543897216	0.3427587072
96	0.8545584385	0.3421178102
97	0.8542857143	0.3410558202
98	0.854727316	0.3406562102
99	0.8544545021	0.3397273849
100	0.855578045	0.339221984
101	0.8560200071	0.3387074308
102	0.8561219628	0.3381797289
103	0.8567004169	0.337741229
104	0.8572449952	0.337231476
105	0.857449089	0.3368408965
106	0.8580952381	0.3365082833
107	0.8586399905	0.3356829005
108	0.8586749285	0.3351183382
109	0.8587772614	0.3345033132
110	0.8589468668	0.3340550721
111	0.8587772614	0.3336160357
112	0.85857262	0.3331637715
113	0.8591179976	0.3326675425
114	0.859391771	0.3323050257
115	0.8594942748	0.3319092297
116	0.8592557252	0.3316519009
117	0.8594253011	0.3311903049
118	0.8596637654	0.3309092599
119	0.8599690144	0.3305704732
120	0.8599690144	0.3301489457
121	0.8597997139	0.3298592941
122	0.8604484733	0.3294369192
123	0.8603125373	0.329013164
124	0.8609587408	0.3286446275
125	0.8611972335	0.3283404594
126	0.8616742189	0.3280659734
127	0.8615714797	0.3277463715
128	0.8620155039	0.3272326477
129	0.8623568702	0.326806157
130	0.8622868725	0.3265622883
131	0.8624925462	0.3263151316
132	0.862188283	0.3261005036
133	0.8623240277	0.3259422396
134	0.8627310674	0.3256634337
135	0.8632081097	0.3250668153
136	0.8631428231	0.3246148456
137	0.8629368961	0.3241931046
138	0.8639236732	0.3237413269
139	0.8637881679	0.3235450114
140	0.8636200931	0.3229738524
141	0.8636526303	0.3226010816
142	0.8638912084	0.3223779281
143	0.8639293387	0.3221313399
144	0.86423288	0.3218852808
145	0.8642976389	0.3215543121
146	0.8644007156	0.3211176132
147	0.8648777579	0.3208303354
148	0.8650131171	0.3205218533
149	0.8648455207	0.3201772671
150	0.8648455207	0.3199428905
