iter	Passed	Remaining
0	150	74929
1	155	38830
2	160	26596
3	166	20595
4	171	16952
5	176	14537
6	182	12820
7	187	11528
8	193	10531
9	198	9719
10	203	9063
11	208	8497
12	214	8017
13	219	7613
14	224	7259
15	229	6947
16	234	6674
17	239	6424
18	245	6203
19	250	6007
20	255	5827
21	261	5670
22	266	5524
23	271	5382
24	276	5258
25	282	5144
26	287	5035
27	292	4931
28	297	4837
29	302	4746
30	308	4660
31	313	4579
32	318	4505
33	323	4435
34	329	4372
35	334	4310
36	339	4251
37	345	4198
38	350	4144
39	355	4091
40	361	4041
41	366	3994
42	371	3950
43	377	3908
44	382	3872
45	388	3831
46	393	3793
47	398	3754
48	404	3721
49	410	3693
50	415	3660
51	420	3625
52	425	3592
53	431	3562
54	436	3535
55	443	3513
56	448	3484
57	453	3456
58	458	3430
59	464	3408
60	469	3382
61	475	3357
62	480	3333
63	485	3308
64	491	3287
65	496	3264
66	501	3240
67	507	3221
68	512	3199
69	517	3177
70	522	3159
71	528	3139
72	533	3120
73	538	3102
74	543	3082
75	549	3063
76	554	3048
77	560	3030
78	565	3012
79	570	2995
80	575	2978
81	580	2961
82	586	2945
83	591	2928
84	596	2913
85	602	2900
86	607	2885
87	613	2871
88	618	2857
89	623	2841
90	629	2828
91	634	2813
92	639	2799
93	644	2785
94	650	2771
95	655	2757
96	660	2745
97	665	2731
98	670	2717
99	676	2705
100	681	2691
101	686	2678
102	691	2665
103	696	2652
104	701	2640
105	707	2629
106	712	2616
107	717	2605
108	724	2598
109	730	2589
110	736	2579
111	741	2569
112	747	2559
113	753	2549
114	758	2539
115	763	2528
116	769	2517
117	774	2507
118	779	2495
119	784	2485
120	790	2474
121	795	2464
122	800	2453
123	805	2442
124	810	2431
125	817	2426
126	826	2426
127	831	2416
128	837	2407
129	842	2397
130	847	2387
131	852	2377
132	857	2367
133	863	2357
134	868	2348
135	873	2338
136	879	2329
137	884	2319
138	889	2309
139	894	2300
140	899	2290
141	905	2281
142	910	2273
143	915	2264
144	921	2256
145	926	2247
146	932	2238
147	937	2230
148	942	2221
149	948	2213
150	954	2205
151	959	2196
152	964	2188
153	970	2179
154	975	2171
155	981	2163
156	986	2155
157	992	2147
158	998	2141
159	1004	2133
160	1009	2126
161	1015	2119
162	1021	2110
163	1027	2105
164	1034	2100
165	1039	2092
166	1045	2084
167	1050	2075
168	1055	2067
169	1060	2058
170	1065	2050
171	1071	2042
172	1076	2034
173	1081	2026
174	1087	2018
175	1092	2010
176	1097	2002
177	1103	1995
178	1108	1987
179	1113	1979
180	1119	1973
181	1125	1966
182	1131	1960
183	1138	1954
184	1144	1948
185	1149	1941
186	1155	1933
187	1160	1926
188	1166	1918
189	1171	1911
190	1176	1903
191	1182	1896
192	1187	1888
193	1192	1881
194	1197	1873
195	1203	1866
196	1208	1858
197	1213	1851
198	1218	1843
199	1224	1836
200	1229	1828
201	1234	1821
202	1239	1814
203	1245	1806
204	1250	1799
205	1256	1792
206	1261	1785
207	1266	1778
208	1272	1771
209	1277	1764
210	1283	1757
211	1288	1750
212	1293	1742
213	1298	1735
214	1304	1728
215	1309	1721
216	1315	1715
217	1320	1708
218	1325	1701
219	1331	1694
220	1336	1686
221	1341	1679
222	1347	1674
223	1353	1667
224	1358	1660
225	1363	1653
226	1368	1646
227	1374	1639
228	1379	1632
229	1384	1625
230	1389	1618
231	1395	1612
232	1401	1605
233	1406	1599
234	1412	1592
235	1417	1585
236	1422	1579
237	1428	1572
238	1434	1566
239	1439	1559
240	1444	1552
241	1450	1546
242	1455	1539
243	1460	1532
244	1465	1525
245	1471	1519
246	1476	1512
247	1482	1506
248	1487	1499
249	1492	1492
250	1499	1487
251	1504	1480
252	1510	1474
253	1515	1467
254	1520	1461
255	1526	1454
256	1531	1448
257	1537	1442
258	1543	1435
259	1548	1429
260	1553	1422
261	1558	1415
262	1563	1409
263	1569	1402
264	1575	1396
265	1580	1390
266	1585	1383
267	1591	1377
268	1596	1371
269	1602	1364
270	1608	1359
271	1614	1353
272	1620	1347
273	1625	1340
274	1630	1333
275	1635	1327
276	1641	1321
277	1646	1314
278	1651	1308
279	1656	1301
280	1662	1295
281	1667	1289
282	1672	1282
283	1678	1276
284	1683	1270
285	1688	1263
286	1693	1257
287	1699	1250
288	1704	1244
289	1710	1238
290	1716	1232
291	1722	1226
292	1727	1220
293	1732	1213
294	1738	1207
295	1743	1201
296	1748	1195
297	1754	1189
298	1759	1183
299	1765	1176
300	1770	1170
301	1775	1164
302	1780	1157
303	1786	1151
304	1791	1145
305	1796	1139
306	1801	1132
307	1807	1126
308	1813	1120
309	1821	1116
310	1828	1111
311	1834	1105
312	1839	1098
313	1844	1092
314	1849	1086
315	1854	1080
316	1860	1073
317	1865	1067
318	1870	1061
319	1875	1055
320	1880	1048
321	1885	1042
322	1891	1036
323	1896	1030
324	1901	1023
325	1906	1017
326	1911	1011
327	1916	1005
328	1922	999
329	1927	992
330	1932	986
331	1937	980
332	1942	974
333	1947	968
334	1953	962
335	1958	955
336	1963	949
337	1968	943
338	1974	937
339	1979	931
340	1984	925
341	1990	919
342	1995	913
343	2001	907
344	2006	901
345	2013	896
346	2019	890
347	2024	884
348	2029	878
349	2035	872
350	2041	866
351	2046	860
352	2051	854
353	2057	848
354	2062	842
355	2068	836
356	2073	830
357	2078	824
358	2083	818
359	2089	812
360	2094	806
361	2099	800
362	2104	794
363	2110	788
364	2115	782
365	2120	776
366	2126	770
367	2131	764
368	2137	758
369	2142	752
370	2148	747
371	2153	741
372	2159	735
373	2165	729
374	2170	723
375	2175	717
376	2180	711
377	2186	705
378	2191	699
379	2197	693
380	2202	688
381	2207	682
382	2213	676
383	2218	670
384	2223	664
385	2228	658
386	2234	652
387	2239	646
388	2244	640
389	2249	634
390	2255	628
391	2260	622
392	2265	616
393	2271	610
394	2276	605
395	2281	599
396	2286	593
397	2291	587
398	2296	581
399	2302	575
400	2307	569
401	2313	563
402	2319	558
403	2324	552
404	2329	546
405	2335	540
406	2340	534
407	2345	528
408	2351	523
409	2356	517
410	2361	511
411	2366	505
412	2372	499
413	2377	493
414	2382	488
415	2387	482
416	2392	476
417	2398	470
418	2403	464
419	2409	458
420	2415	453
421	2420	447
422	2425	441
423	2430	435
424	2436	429
425	2441	424
426	2446	418
427	2452	412
428	2457	406
429	2462	400
430	2468	395
431	2473	389
432	2478	383
433	2483	377
434	2488	371
435	2493	366
436	2499	360
437	2504	354
438	2509	348
439	2514	342
440	2519	337
441	2524	331
442	2530	325
